HDI rank,Country,Human Development Index (HDI) ,Expected years of schooling,Mean years of schooling ,Gross_National_Income,Life expectancy at birth,HDI Rank Value(2020),Population Value(2021),Population Value(2020),Area (sq_km)
143,Nepal,0.6,12.9,5.1,3877,68.4,144,29960704,29136808,147181
144,Eswatini,0.6,13.7,5.6,7679,57.1,141,1172362,1172362,17364
145,Equatorial Guinea,0.6,9.7,5.9,12074,60.6,147,1477483,1402985,28051
146,Cambodia,0.59,11.5,5.1,4079,69.6,148,17080063,16718965,181035
146,Zimbabwe,0.59,12.1,8.7,3810,59.3,145,15229891,14862924,390757
148,Angola,0.59,12.2,5.4,5466,61.6,149,34566172,32866272,1246700
149,Myanmar,0.59,10.9,6.4,3851,65.7,145,55037700,54409800,676578
150,Syrian Arab Republic,0.58,9.2,5.1,4192,72.1,152,18646187,17500658,185180
151,Cameroon,0.58,13.1,6.2,3621,60.3,150,27624492,26545863,475442
152,Kenya,0.58,10.7,6.7,4474,61.4,150,55703607,53771296,580367
153,Congo,0.57,12.3,6.2,2889,63.5,153,89600000,92377993,2344858
154,Zambia,0.57,10.9,7.2,3218,61.2,154,19238117,18383955,752612
155,Solomon Islands,0.56,10.3,5.7,2482,70.3,155,714126,686884,28896
156,Comoros,0.56,11.9,5.1,3142,63.4,156,899658,869601,1862
156,Papua New Guinea,0.56,10.4,4.7,4009,65.4,157,9220306,8947024,462840
158,Mauritania,0.56,9.4,4.9,5075,64.4,158,4848828,4649658,1030700
159,Côte d'Ivoire,0.55,10.7,5.2,5217,58.6,159,5203000,5355000,322462
160,Tanzania,0.55,9.2,6.4,2664,66.2,160,62539416,59734218,945087
161,Pakistan,0.54,8.7,4.5,4624,66.1,161,227724796,220892340,881912
162,Togo,0.54,13,5,2167,61.6,163,8596357,8278724,56785
163,Haiti,0.54,9.7,5.6,2848,63.2,162,11623799,11402528,27750
163,Nigeria,0.54,10.1,7.2,4790,52.7,163,214507696,206139589,923768
165,Rwanda,0.53,11.2,4.4,2210,66.1,165,13466174,12952218,26338
166,Benin,0.53,10.8,4.3,3409,59.8,166,12644580,12123200,112622
166,Uganda,0.53,10.1,5.7,2181,62.7,166,47942521,45741007,241550
168,Lesotho,0.51,12,6,2700,53.1,168,2169209,2142249,30355
169,Malawi,0.51,12.7,4.5,1466,62.9,169,19953296,19129952,118484
170,Senegal,0.51,9,2.9,3344,67.1,170,17462688,16743927,196722
171,Djibouti,0.51,7.4,4.1,5025,62.3,171,1010377,988000,23200
172,Sudan,0.51,7.9,3.8,3575,65.3,171,45532863,43849260,1886068
173,Madagascar,0.5,10.1,5.1,1484,64.5,173,28860961,27691018,587041
174,Gambia,0.5,9.4,4.6,2172,62.1,173,2528326,2416668,10689
175,Ethiopia,0.5,9.7,3.2,2361,65,175,119590501,114963588,1104300
176,Eritrea,0.49,8.1,4.9,1729,66.5,176,3633796,3546421,117600
177,Guinea-Bissau,0.48,10.6,3.6,1908,59.7,177,2043512,1968001,36125
178,Liberia,0.48,10.4,5.1,1289,60.7,179,5252834,5057681,111369
179,Congo,0.48,9.8,7,1076,59.2,180,89561403,92377986,2344858
180,Afghanistan,0.48,10.3,3,1824,62,177,40374668,38928346,652230
181,Sierra Leone,0.48,9.6,4.6,1622,60.1,181,8238113,7976983,71740
182,Guinea,0.47,9.8,2.2,2481,58.9,182,13709966,13132795,245857
183,Yemen,0.46,9.1,3.2,1314,63.8,183,30882462,29825964,527968
184,Burkina Faso,0.45,9.1,2.1,2118,59.3,185,21847968,20903273,272967
185,Mozambique,0.45,10.2,3.2,1198,59.3,184,32696683,31255435,801590
186,Mali,0.43,7.4,2.3,2133,58.9,186,21212426,20250833,1240192
187,Burundi,0.43,10.7,3.1,732,61.7,187,12469663,11890784,27834
188,Central African Republic,0.4,8,4.3,966,53.9,188,4971922,4829767,622984
189,Niger,0.4,7,2.1,1240,61.6,189,25677816,24206644,1267000
190,Chad,0.39,8,2.6,1364,52.5,190,17203787,16425864,1284000
191,South Sudan,0.39,5.5,5.7,768,55,191,11493450,11193725,619745
